	Pathway	Name	Parent	Category1	Category2	Category3	Category4	Category5	Category6	Category7
2.1.1.165	PWY-6730	methylhalides biosynthesis (plants)	Other-biosynthesis	Biosynthesis	Other Biosynthesis	Other Biosynthesis	Other Biosynthesis	Other Biosynthesis	Other Biosynthesis	Other Biosynthesis
2.1.1.165	PWY-6730	methylhalides biosynthesis (plants)	Other-biosynthesis	Biosynthesis	Other Biosynthesis	Other Biosynthesis	Other Biosynthesis	Other Biosynthesis	Other Biosynthesis	Other Biosynthesis
2.1.1.165	PWY-6730	methylhalides biosynthesis (plants)	Other-biosynthesis	Biosynthesis	Other Biosynthesis	Other Biosynthesis	Other Biosynthesis	Other Biosynthesis	Other Biosynthesis	Other Biosynthesis
2.4.1.-	PWY-7697	geranyl &beta;-primeveroside biosynthesis	MONOTERPENOID-SYN	Biosynthesis	Secondary Metabolites Biosynthesis	Terpenoids Biosynthesis	Monoterpenoids Biosynthesis	Monoterpenoids Biosynthesis	Monoterpenoids Biosynthesis	Monoterpenoids Biosynthesis
2.4.1.-	PWY-7697	geranyl &beta;-primeveroside biosynthesis	MONOTERPENOID-SYN	Biosynthesis	Secondary Metabolites Biosynthesis	Terpenoids Biosynthesis	Monoterpenoids Biosynthesis	Monoterpenoids Biosynthesis	Monoterpenoids Biosynthesis	Monoterpenoids Biosynthesis
2.6.1.-	PWYQT-4472	glucosinolate biosynthesis from trihomomethionine	GLUCOSINOLATE-SYN	Biosynthesis	Secondary Metabolites Biosynthesis	Nitrogen-Containing Secondary Compounds Biosynthesis	Nitrogen-Containing Glucosides Biosynthesis	Glucosinolates Biosynthesis	Glucosinolates Biosynthesis	Glucosinolates Biosynthesis
2.4.1.195	PWYQT-4472	glucosinolate biosynthesis from trihomomethionine	GLUCOSINOLATE-SYN	Biosynthesis	Secondary Metabolites Biosynthesis	Nitrogen-Containing Secondary Compounds Biosynthesis	Nitrogen-Containing Glucosides Biosynthesis	Glucosinolates Biosynthesis	Glucosinolates Biosynthesis	Glucosinolates Biosynthesis
1.14.99.-	PWYQT-4472	glucosinolate biosynthesis from trihomomethionine	GLUCOSINOLATE-SYN	Biosynthesis	Secondary Metabolites Biosynthesis	Nitrogen-Containing Secondary Compounds Biosynthesis	Nitrogen-Containing Glucosides Biosynthesis	Glucosinolates Biosynthesis	Glucosinolates Biosynthesis	Glucosinolates Biosynthesis
1.14.13.-	PWYQT-4472	glucosinolate biosynthesis from trihomomethionine	GLUCOSINOLATE-SYN	Biosynthesis	Secondary Metabolites Biosynthesis	Nitrogen-Containing Secondary Compounds Biosynthesis	Nitrogen-Containing Glucosides Biosynthesis	Glucosinolates Biosynthesis	Glucosinolates Biosynthesis	Glucosinolates Biosynthesis
2.8.2.-	PWYQT-4472	glucosinolate biosynthesis from trihomomethionine	GLUCOSINOLATE-SYN	Biosynthesis	Secondary Metabolites Biosynthesis	Nitrogen-Containing Secondary Compounds Biosynthesis	Nitrogen-Containing Glucosides Biosynthesis	Glucosinolates Biosynthesis	Glucosinolates Biosynthesis	Glucosinolates Biosynthesis
1.14.13.-	PWY-7405	aurachin RE biosynthesis	Aurachin-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Aurachin Biosynthesis	Aurachin Biosynthesis	Aurachin Biosynthesis	Aurachin Biosynthesis
2.3.1.-	PWY-7405	aurachin RE biosynthesis	Aurachin-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Aurachin Biosynthesis	Aurachin Biosynthesis	Aurachin Biosynthesis	Aurachin Biosynthesis
6.2.1.32	PWY-7405	aurachin RE biosynthesis	Aurachin-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Aurachin Biosynthesis	Aurachin Biosynthesis	Aurachin Biosynthesis	Aurachin Biosynthesis
2.5.1.-	PWY-7405	aurachin RE biosynthesis	Aurachin-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Aurachin Biosynthesis	Aurachin Biosynthesis	Aurachin Biosynthesis	Aurachin Biosynthesis
1.14.13.-	PWY-7405	aurachin RE biosynthesis	Aurachin-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Aurachin Biosynthesis	Aurachin Biosynthesis	Aurachin Biosynthesis	Aurachin Biosynthesis
2.6.1.59	PWY-7315	dTDP-N-acetylthomosamine biosynthesis	dTDP-Sugar-Biosynthesis	Biosynthesis	Carbohydrates Biosynthesis	Sugars Biosynthesis	Sugar Nucleotides Biosynthesis	dTDP-sugar Biosynthesis	dTDP-sugar Biosynthesis	dTDP-sugar Biosynthesis
2.6.1.59	PWY-7315	dTDP-N-acetylthomosamine biosynthesis	O-Antigen-Biosynthesis	Biosynthesis	Cell Structures Biosynthesis	Lipopolysaccharide Biosynthesis	O-Antigen Biosynthesis	O-Antigen Biosynthesis	O-Antigen Biosynthesis	O-Antigen Biosynthesis
2.7.7.24	PWY-7315	dTDP-N-acetylthomosamine biosynthesis	dTDP-Sugar-Biosynthesis	Biosynthesis	Carbohydrates Biosynthesis	Sugars Biosynthesis	Sugar Nucleotides Biosynthesis	dTDP-sugar Biosynthesis	dTDP-sugar Biosynthesis	dTDP-sugar Biosynthesis
2.7.7.24	PWY-7315	dTDP-N-acetylthomosamine biosynthesis	O-Antigen-Biosynthesis	Biosynthesis	Cell Structures Biosynthesis	Lipopolysaccharide Biosynthesis	O-Antigen Biosynthesis	O-Antigen Biosynthesis	O-Antigen Biosynthesis	O-Antigen Biosynthesis
2.3.1.210	PWY-7315	dTDP-N-acetylthomosamine biosynthesis	dTDP-Sugar-Biosynthesis	Biosynthesis	Carbohydrates Biosynthesis	Sugars Biosynthesis	Sugar Nucleotides Biosynthesis	dTDP-sugar Biosynthesis	dTDP-sugar Biosynthesis	dTDP-sugar Biosynthesis
2.3.1.210	PWY-7315	dTDP-N-acetylthomosamine biosynthesis	O-Antigen-Biosynthesis	Biosynthesis	Cell Structures Biosynthesis	Lipopolysaccharide Biosynthesis	O-Antigen Biosynthesis	O-Antigen Biosynthesis	O-Antigen Biosynthesis	O-Antigen Biosynthesis
4.2.1.46	PWY-7315	dTDP-N-acetylthomosamine biosynthesis	dTDP-Sugar-Biosynthesis	Biosynthesis	Carbohydrates Biosynthesis	Sugars Biosynthesis	Sugar Nucleotides Biosynthesis	dTDP-sugar Biosynthesis	dTDP-sugar Biosynthesis	dTDP-sugar Biosynthesis
4.2.1.46	PWY-7315	dTDP-N-acetylthomosamine biosynthesis	O-Antigen-Biosynthesis	Biosynthesis	Cell Structures Biosynthesis	Lipopolysaccharide Biosynthesis	O-Antigen Biosynthesis	O-Antigen Biosynthesis	O-Antigen Biosynthesis	O-Antigen Biosynthesis
3.5.2.-	PWY-6633	caffeine degradation V (bacteria, via trimethylurate)	CAFFEINE	Degradation/Utilization/Assimilation	Secondary Metabolites Degradation	Nitrogen Containing Secondary Compounds Degradation	Alkaloids Degradation	Caffeine Degradation	Caffeine Degradation	Caffeine Degradation
4.1.1.-	PWY-6633	caffeine degradation V (bacteria, via trimethylurate)	CAFFEINE	Degradation/Utilization/Assimilation	Secondary Metabolites Degradation	Nitrogen Containing Secondary Compounds Degradation	Alkaloids Degradation	Caffeine Degradation	Caffeine Degradation	Caffeine Degradation
1.17.5.2	PWY-6633	caffeine degradation V (bacteria, via trimethylurate)	CAFFEINE	Degradation/Utilization/Assimilation	Secondary Metabolites Degradation	Nitrogen Containing Secondary Compounds Degradation	Alkaloids Degradation	Caffeine Degradation	Caffeine Degradation	Caffeine Degradation
1.14.13.212	PWY-6633	caffeine degradation V (bacteria, via trimethylurate)	CAFFEINE	Degradation/Utilization/Assimilation	Secondary Metabolites Degradation	Nitrogen Containing Secondary Compounds Degradation	Alkaloids Degradation	Caffeine Degradation	Caffeine Degradation	Caffeine Degradation
5.4.99.18	PWY-6123	inosine-5'-phosphate biosynthesis I	IMP-Biosynthesis	Biosynthesis	Nucleosides and Nucleotides Biosynthesis	Purine Nucleotide Biosynthesis	Purine Nucleotides De Novo Biosynthesis	Purine Riboucleotides De Novo Biosynthesis	Inosine-5'-phosphate Biosynthesis	Inosine-5'-phosphate Biosynthesis
4.3.2.2	PWY-6123	inosine-5'-phosphate biosynthesis I	IMP-Biosynthesis	Biosynthesis	Nucleosides and Nucleotides Biosynthesis	Purine Nucleotide Biosynthesis	Purine Nucleotides De Novo Biosynthesis	Purine Riboucleotides De Novo Biosynthesis	Inosine-5'-phosphate Biosynthesis	Inosine-5'-phosphate Biosynthesis
6.3.2.6	PWY-6123	inosine-5'-phosphate biosynthesis I	IMP-Biosynthesis	Biosynthesis	Nucleosides and Nucleotides Biosynthesis	Purine Nucleotide Biosynthesis	Purine Nucleotides De Novo Biosynthesis	Purine Riboucleotides De Novo Biosynthesis	Inosine-5'-phosphate Biosynthesis	Inosine-5'-phosphate Biosynthesis
3.5.4.10	PWY-6123	inosine-5'-phosphate biosynthesis I	IMP-Biosynthesis	Biosynthesis	Nucleosides and Nucleotides Biosynthesis	Purine Nucleotide Biosynthesis	Purine Nucleotides De Novo Biosynthesis	Purine Riboucleotides De Novo Biosynthesis	Inosine-5'-phosphate Biosynthesis	Inosine-5'-phosphate Biosynthesis
2.1.2.3	PWY-6123	inosine-5'-phosphate biosynthesis I	IMP-Biosynthesis	Biosynthesis	Nucleosides and Nucleotides Biosynthesis	Purine Nucleotide Biosynthesis	Purine Nucleotides De Novo Biosynthesis	Purine Riboucleotides De Novo Biosynthesis	Inosine-5'-phosphate Biosynthesis	Inosine-5'-phosphate Biosynthesis
6.3.4.18	PWY-6123	inosine-5'-phosphate biosynthesis I	IMP-Biosynthesis	Biosynthesis	Nucleosides and Nucleotides Biosynthesis	Purine Nucleotide Biosynthesis	Purine Nucleotides De Novo Biosynthesis	Purine Riboucleotides De Novo Biosynthesis	Inosine-5'-phosphate Biosynthesis	Inosine-5'-phosphate Biosynthesis
5.4.99.18	PWY-7234	inosine-5'-phosphate biosynthesis III	IMP-Biosynthesis	Biosynthesis	Nucleosides and Nucleotides Biosynthesis	Purine Nucleotide Biosynthesis	Purine Nucleotides De Novo Biosynthesis	Purine Riboucleotides De Novo Biosynthesis	Inosine-5'-phosphate Biosynthesis	Inosine-5'-phosphate Biosynthesis
4.3.2.2	PWY-7234	inosine-5'-phosphate biosynthesis III	IMP-Biosynthesis	Biosynthesis	Nucleosides and Nucleotides Biosynthesis	Purine Nucleotide Biosynthesis	Purine Nucleotides De Novo Biosynthesis	Purine Riboucleotides De Novo Biosynthesis	Inosine-5'-phosphate Biosynthesis	Inosine-5'-phosphate Biosynthesis
6.3.2.6	PWY-7234	inosine-5'-phosphate biosynthesis III	IMP-Biosynthesis	Biosynthesis	Nucleosides and Nucleotides Biosynthesis	Purine Nucleotide Biosynthesis	Purine Nucleotides De Novo Biosynthesis	Purine Riboucleotides De Novo Biosynthesis	Inosine-5'-phosphate Biosynthesis	Inosine-5'-phosphate Biosynthesis
3.5.4.10	PWY-7234	inosine-5'-phosphate biosynthesis III	IMP-Biosynthesis	Biosynthesis	Nucleosides and Nucleotides Biosynthesis	Purine Nucleotide Biosynthesis	Purine Nucleotides De Novo Biosynthesis	Purine Riboucleotides De Novo Biosynthesis	Inosine-5'-phosphate Biosynthesis	Inosine-5'-phosphate Biosynthesis
6.3.4.23	PWY-7234	inosine-5'-phosphate biosynthesis III	IMP-Biosynthesis	Biosynthesis	Nucleosides and Nucleotides Biosynthesis	Purine Nucleotide Biosynthesis	Purine Nucleotides De Novo Biosynthesis	Purine Riboucleotides De Novo Biosynthesis	Inosine-5'-phosphate Biosynthesis	Inosine-5'-phosphate Biosynthesis
6.3.4.18	PWY-7234	inosine-5'-phosphate biosynthesis III	IMP-Biosynthesis	Biosynthesis	Nucleosides and Nucleotides Biosynthesis	Purine Nucleotide Biosynthesis	Purine Nucleotides De Novo Biosynthesis	Purine Riboucleotides De Novo Biosynthesis	Inosine-5'-phosphate Biosynthesis	Inosine-5'-phosphate Biosynthesis
3.2.1.149	PWY-7114	tea aroma glycosidic precursor bioactivation	SECONDARY-METABOLITE-DEGRADATION	Degradation/Utilization/Assimilation	Secondary Metabolites Degradation	Secondary Metabolites Degradation	Secondary Metabolites Degradation	Secondary Metabolites Degradation	Secondary Metabolites Degradation	Secondary Metabolites Degradation
3.2.1.149	PWY-7114	tea aroma glycosidic precursor bioactivation	SECONDARY-METABOLITE-DEGRADATION	Degradation/Utilization/Assimilation	Secondary Metabolites Degradation	Secondary Metabolites Degradation	Secondary Metabolites Degradation	Secondary Metabolites Degradation	Secondary Metabolites Degradation	Secondary Metabolites Degradation
3.2.1.149	PWY-7114	tea aroma glycosidic precursor bioactivation	SECONDARY-METABOLITE-DEGRADATION	Degradation/Utilization/Assimilation	Secondary Metabolites Degradation	Secondary Metabolites Degradation	Secondary Metabolites Degradation	Secondary Metabolites Degradation	Secondary Metabolites Degradation	Secondary Metabolites Degradation
3.2.1.149	PWY-7114	tea aroma glycosidic precursor bioactivation	SECONDARY-METABOLITE-DEGRADATION	Degradation/Utilization/Assimilation	Secondary Metabolites Degradation	Secondary Metabolites Degradation	Secondary Metabolites Degradation	Secondary Metabolites Degradation	Secondary Metabolites Degradation	Secondary Metabolites Degradation
3.2.1.149	PWY-7114	tea aroma glycosidic precursor bioactivation	SECONDARY-METABOLITE-DEGRADATION	Degradation/Utilization/Assimilation	Secondary Metabolites Degradation	Secondary Metabolites Degradation	Secondary Metabolites Degradation	Secondary Metabolites Degradation	Secondary Metabolites Degradation	Secondary Metabolites Degradation
3.2.1.149	PWY-7114	tea aroma glycosidic precursor bioactivation	SECONDARY-METABOLITE-DEGRADATION	Degradation/Utilization/Assimilation	Secondary Metabolites Degradation	Secondary Metabolites Degradation	Secondary Metabolites Degradation	Secondary Metabolites Degradation	Secondary Metabolites Degradation	Secondary Metabolites Degradation
3.2.1.149	PWY-7114	tea aroma glycosidic precursor bioactivation	SECONDARY-METABOLITE-DEGRADATION	Degradation/Utilization/Assimilation	Secondary Metabolites Degradation	Secondary Metabolites Degradation	Secondary Metabolites Degradation	Secondary Metabolites Degradation	Secondary Metabolites Degradation	Secondary Metabolites Degradation
2.1.3.-	PWY-7693	guadinomine B biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
2.1.4.1	PWY-7693	guadinomine B biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
2.7.2.-	PWY-7693	guadinomine B biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
1.14.11.M1	PWY-7693	guadinomine B biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
6.2.1.-	PWY-7693	guadinomine B biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
1.1.1.-	PWY-7693	guadinomine B biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
1.2.98.-	PWY-7693	guadinomine B biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
2.3.1.-	PWY-7693	guadinomine B biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
5.3.2.6	PWY-6336	protocatechuate degradation III (<I>para</I>-cleavage pathway)	Protocatechuate-Degradation	Degradation/Utilization/Assimilation	Aromatic Compounds Degradation	Protocatechuate Degradation	Protocatechuate Degradation	Protocatechuate Degradation	Protocatechuate Degradation	Protocatechuate Degradation
1.2.1.85	PWY-6336	protocatechuate degradation III (<I>para</I>-cleavage pathway)	Protocatechuate-Degradation	Degradation/Utilization/Assimilation	Aromatic Compounds Degradation	Protocatechuate Degradation	Protocatechuate Degradation	Protocatechuate Degradation	Protocatechuate Degradation	Protocatechuate Degradation
4.1.1.77	PWY-6336	protocatechuate degradation III (<I>para</I>-cleavage pathway)	Protocatechuate-Degradation	Degradation/Utilization/Assimilation	Aromatic Compounds Degradation	Protocatechuate Degradation	Protocatechuate Degradation	Protocatechuate Degradation	Protocatechuate Degradation	Protocatechuate Degradation
1.13.11.-	PWY-6336	protocatechuate degradation III (<I>para</I>-cleavage pathway)	Protocatechuate-Degradation	Degradation/Utilization/Assimilation	Aromatic Compounds Degradation	Protocatechuate Degradation	Protocatechuate Degradation	Protocatechuate Degradation	Protocatechuate Degradation	Protocatechuate Degradation
5.3.2.6	PWY-6214	3-chlorocatechol degradation III (meta pathway)	3-Chlorocatechol-Degradation	Degradation/Utilization/Assimilation	Aromatic Compounds Degradation	Chloroaromatic Compounds Degradation	Chlorocatechol Degradation	3-Chlorocatechol Degradation	3-Chlorocatechol Degradation	3-Chlorocatechol Degradation
5.3.2.6	PWY-6214	3-chlorocatechol degradation III (meta pathway)	3-Chlorocatechol-Degradation	Degradation/Utilization/Assimilation	Chlorinated Compounds Degradation	Chloroaromatic Compounds Degradation	Chlorocatechol Degradation	3-Chlorocatechol Degradation	3-Chlorocatechol Degradation	3-Chlorocatechol Degradation
4.1.1.77	PWY-6214	3-chlorocatechol degradation III (meta pathway)	3-Chlorocatechol-Degradation	Degradation/Utilization/Assimilation	Aromatic Compounds Degradation	Chloroaromatic Compounds Degradation	Chlorocatechol Degradation	3-Chlorocatechol Degradation	3-Chlorocatechol Degradation	3-Chlorocatechol Degradation
4.1.1.77	PWY-6214	3-chlorocatechol degradation III (meta pathway)	3-Chlorocatechol-Degradation	Degradation/Utilization/Assimilation	Chlorinated Compounds Degradation	Chloroaromatic Compounds Degradation	Chlorocatechol Degradation	3-Chlorocatechol Degradation	3-Chlorocatechol Degradation	3-Chlorocatechol Degradation
2.6.1.11	PWY-7400	L-arginine biosynthesis IV (archaebacteria)	ARGININE-SYN	Biosynthesis	Amino Acids Biosynthesis	Proteinogenic Amino Acids Biosynthesis	L-arginine Biosynthesis	L-arginine Biosynthesis	L-arginine Biosynthesis	L-arginine Biosynthesis
3.5.1.-	PWY-7400	L-arginine biosynthesis IV (archaebacteria)	ARGININE-SYN	Biosynthesis	Amino Acids Biosynthesis	Proteinogenic Amino Acids Biosynthesis	L-arginine Biosynthesis	L-arginine Biosynthesis	L-arginine Biosynthesis	L-arginine Biosynthesis
4.3.2.1	PWY-7400	L-arginine biosynthesis IV (archaebacteria)	ARGININE-SYN	Biosynthesis	Amino Acids Biosynthesis	Proteinogenic Amino Acids Biosynthesis	L-arginine Biosynthesis	L-arginine Biosynthesis	L-arginine Biosynthesis	L-arginine Biosynthesis
6.3.5.5	PWY-7400	L-arginine biosynthesis IV (archaebacteria)	ARGININE-SYN	Biosynthesis	Amino Acids Biosynthesis	Proteinogenic Amino Acids Biosynthesis	L-arginine Biosynthesis	L-arginine Biosynthesis	L-arginine Biosynthesis	L-arginine Biosynthesis
2.7.2.8	PWY-7400	L-arginine biosynthesis IV (archaebacteria)	ARGININE-SYN	Biosynthesis	Amino Acids Biosynthesis	Proteinogenic Amino Acids Biosynthesis	L-arginine Biosynthesis	L-arginine Biosynthesis	L-arginine Biosynthesis	L-arginine Biosynthesis
6.3.4.5	PWY-7400	L-arginine biosynthesis IV (archaebacteria)	ARGININE-SYN	Biosynthesis	Amino Acids Biosynthesis	Proteinogenic Amino Acids Biosynthesis	L-arginine Biosynthesis	L-arginine Biosynthesis	L-arginine Biosynthesis	L-arginine Biosynthesis
1.2.1.38	PWY-7400	L-arginine biosynthesis IV (archaebacteria)	ARGININE-SYN	Biosynthesis	Amino Acids Biosynthesis	Proteinogenic Amino Acids Biosynthesis	L-arginine Biosynthesis	L-arginine Biosynthesis	L-arginine Biosynthesis	L-arginine Biosynthesis
6.3.2.-	PWY-7400	L-arginine biosynthesis IV (archaebacteria)	ARGININE-SYN	Biosynthesis	Amino Acids Biosynthesis	Proteinogenic Amino Acids Biosynthesis	L-arginine Biosynthesis	L-arginine Biosynthesis	L-arginine Biosynthesis	L-arginine Biosynthesis
2.1.3.3	PWY-7400	L-arginine biosynthesis IV (archaebacteria)	ARGININE-SYN	Biosynthesis	Amino Acids Biosynthesis	Proteinogenic Amino Acids Biosynthesis	L-arginine Biosynthesis	L-arginine Biosynthesis	L-arginine Biosynthesis	L-arginine Biosynthesis
2.8.3.22	PWY-5749	itaconate degradation	CARBOXYLATES-DEG	Degradation/Utilization/Assimilation	Carboxylates Degradation	Carboxylates Degradation	Carboxylates Degradation	Carboxylates Degradation	Carboxylates Degradation	Carboxylates Degradation
2.8.3.20	PWY-5749	itaconate degradation	CARBOXYLATES-DEG	Degradation/Utilization/Assimilation	Carboxylates Degradation	Carboxylates Degradation	Carboxylates Degradation	Carboxylates Degradation	Carboxylates Degradation	Carboxylates Degradation
4.2.1.56	PWY-5749	itaconate degradation	CARBOXYLATES-DEG	Degradation/Utilization/Assimilation	Carboxylates Degradation	Carboxylates Degradation	Carboxylates Degradation	Carboxylates Degradation	Carboxylates Degradation	Carboxylates Degradation
6.2.1.4	PWY-5749	itaconate degradation	CARBOXYLATES-DEG	Degradation/Utilization/Assimilation	Carboxylates Degradation	Carboxylates Degradation	Carboxylates Degradation	Carboxylates Degradation	Carboxylates Degradation	Carboxylates Degradation
4.1.3.25	PWY-5749	itaconate degradation	CARBOXYLATES-DEG	Degradation/Utilization/Assimilation	Carboxylates Degradation	Carboxylates Degradation	Carboxylates Degradation	Carboxylates Degradation	Carboxylates Degradation	Carboxylates Degradation
2.6.1.13	ARGASEDEG-PWY	L-arginine degradation I (arginase pathway)	ARGININE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-arginine Degradation	L-arginine Degradation	L-arginine Degradation	L-arginine Degradation
2.6.1.13	ARGASEDEG-PWY	L-arginine degradation I (arginase pathway)	GLUTAMATE-SYN	Biosynthesis	Amino Acids Biosynthesis	Proteinogenic Amino Acids Biosynthesis	L-glutamate Biosynthesis	L-glutamate Biosynthesis	L-glutamate Biosynthesis	L-glutamate Biosynthesis
3.5.3.1	ARGASEDEG-PWY	L-arginine degradation I (arginase pathway)	ARGININE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-arginine Degradation	L-arginine Degradation	L-arginine Degradation	L-arginine Degradation
3.5.3.1	ARGASEDEG-PWY	L-arginine degradation I (arginase pathway)	GLUTAMATE-SYN	Biosynthesis	Amino Acids Biosynthesis	Proteinogenic Amino Acids Biosynthesis	L-glutamate Biosynthesis	L-glutamate Biosynthesis	L-glutamate Biosynthesis	L-glutamate Biosynthesis
1.2.1.88	ARGASEDEG-PWY	L-arginine degradation I (arginase pathway)	ARGININE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-arginine Degradation	L-arginine Degradation	L-arginine Degradation	L-arginine Degradation
1.2.1.88	ARGASEDEG-PWY	L-arginine degradation I (arginase pathway)	GLUTAMATE-SYN	Biosynthesis	Amino Acids Biosynthesis	Proteinogenic Amino Acids Biosynthesis	L-glutamate Biosynthesis	L-glutamate Biosynthesis	L-glutamate Biosynthesis	L-glutamate Biosynthesis
1.14.13.200	PWY-7485	tetracenomycin C biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
2.1.1.-	PWY-7485	tetracenomycin C biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
4.2.1.-	PWY-7485	tetracenomycin C biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
2.3.1.-	PWY-7485	tetracenomycin C biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
2.1.1.-	PWY-7485	tetracenomycin C biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
1.13.12.21	PWY-7485	tetracenomycin C biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
4.2.1.-	PWY-7485	tetracenomycin C biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
4.2.1.154	PWY-7485	tetracenomycin C biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
2.1.1.-	PWY-7485	tetracenomycin C biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
2.4.2.49	PWY-7015	ribostamycin biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
2.6.1.93	PWY-7015	ribostamycin biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
3.1.3.88	PWY-7015	ribostamycin biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
