	Pathway	Name	Parent	Category1	Category2	Category3	Category4	Category5	Category6	Category7
2.6.1.5	TYRFUMCAT-PWY	L-tyrosine degradation I	TYROSINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation
3.7.1.2	TYRFUMCAT-PWY	L-tyrosine degradation I	TYROSINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation
1.13.11.5	TYRFUMCAT-PWY	L-tyrosine degradation I	TYROSINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation
1.13.11.27	TYRFUMCAT-PWY	L-tyrosine degradation I	TYROSINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation
5.2.1.2	TYRFUMCAT-PWY	L-tyrosine degradation I	TYROSINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation
2.6.1.57	PWY-3581	(S)-reticuline biosynthesis I	S-Reticuline-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Nitrogen-Containing Secondary Compounds Biosynthesis	Alkaloids Biosynthesis	Isoquinoline and Benzylisoquinoline Alkaloids Biosynthesis	(S)-reticuline biosynthesis	(S)-reticuline biosynthesis
2.6.1.57	PWY-3581	(S)-reticuline biosynthesis I	S-Reticuline-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Nitrogen-Containing Secondary Compounds Biosynthesis	Alkaloids Biosynthesis	Isoquinoline and Benzylisoquinoline Alkaloids Biosynthesis	(S)-reticuline biosynthesis	(S)-reticuline biosynthesis
2.1.1.128	PWY-3581	(S)-reticuline biosynthesis I	S-Reticuline-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Nitrogen-Containing Secondary Compounds Biosynthesis	Alkaloids Biosynthesis	Isoquinoline and Benzylisoquinoline Alkaloids Biosynthesis	(S)-reticuline biosynthesis	(S)-reticuline biosynthesis
4.1.1.80	PWY-3581	(S)-reticuline biosynthesis I	S-Reticuline-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Nitrogen-Containing Secondary Compounds Biosynthesis	Alkaloids Biosynthesis	Isoquinoline and Benzylisoquinoline Alkaloids Biosynthesis	(S)-reticuline biosynthesis	(S)-reticuline biosynthesis
2.1.1.140	PWY-3581	(S)-reticuline biosynthesis I	S-Reticuline-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Nitrogen-Containing Secondary Compounds Biosynthesis	Alkaloids Biosynthesis	Isoquinoline and Benzylisoquinoline Alkaloids Biosynthesis	(S)-reticuline biosynthesis	(S)-reticuline biosynthesis
4.1.1.25	PWY-3581	(S)-reticuline biosynthesis I	S-Reticuline-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Nitrogen-Containing Secondary Compounds Biosynthesis	Alkaloids Biosynthesis	Isoquinoline and Benzylisoquinoline Alkaloids Biosynthesis	(S)-reticuline biosynthesis	(S)-reticuline biosynthesis
4.1.1.28	PWY-3581	(S)-reticuline biosynthesis I	S-Reticuline-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Nitrogen-Containing Secondary Compounds Biosynthesis	Alkaloids Biosynthesis	Isoquinoline and Benzylisoquinoline Alkaloids Biosynthesis	(S)-reticuline biosynthesis	(S)-reticuline biosynthesis
1.14.13.71	PWY-3581	(S)-reticuline biosynthesis I	S-Reticuline-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Nitrogen-Containing Secondary Compounds Biosynthesis	Alkaloids Biosynthesis	Isoquinoline and Benzylisoquinoline Alkaloids Biosynthesis	(S)-reticuline biosynthesis	(S)-reticuline biosynthesis
2.1.1.116	PWY-3581	(S)-reticuline biosynthesis I	S-Reticuline-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Nitrogen-Containing Secondary Compounds Biosynthesis	Alkaloids Biosynthesis	Isoquinoline and Benzylisoquinoline Alkaloids Biosynthesis	(S)-reticuline biosynthesis	(S)-reticuline biosynthesis
4.2.1.78	PWY-3581	(S)-reticuline biosynthesis I	S-Reticuline-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Nitrogen-Containing Secondary Compounds Biosynthesis	Alkaloids Biosynthesis	Isoquinoline and Benzylisoquinoline Alkaloids Biosynthesis	(S)-reticuline biosynthesis	(S)-reticuline biosynthesis
2.6.1.5	TYRSYN	L-tyrosine biosynthesis I	TYROSINE-SYN	Biosynthesis	Amino Acids Biosynthesis	Proteinogenic Amino Acids Biosynthesis	L-tyrosine Biosynthesis	L-tyrosine Biosynthesis	L-tyrosine Biosynthesis	L-tyrosine Biosynthesis
2.6.1.5	TYRSYN	L-tyrosine biosynthesis I	TYROSINE-SYN	Biosynthesis	Amino Acids Biosynthesis	Proteinogenic Amino Acids Biosynthesis	L-tyrosine Biosynthesis	L-tyrosine Biosynthesis	L-tyrosine Biosynthesis	L-tyrosine Biosynthesis
5.4.99.5	TYRSYN	L-tyrosine biosynthesis I	TYROSINE-SYN	Biosynthesis	Amino Acids Biosynthesis	Proteinogenic Amino Acids Biosynthesis	L-tyrosine Biosynthesis	L-tyrosine Biosynthesis	L-tyrosine Biosynthesis	L-tyrosine Biosynthesis
1.3.1.12	TYRSYN	L-tyrosine biosynthesis I	TYROSINE-SYN	Biosynthesis	Amino Acids Biosynthesis	Proteinogenic Amino Acids Biosynthesis	L-tyrosine Biosynthesis	L-tyrosine Biosynthesis	L-tyrosine Biosynthesis	L-tyrosine Biosynthesis
1.14.13.-	PWY-5290	secologanin and strictosidine biosynthesis	INDOLE-ALKALOIDS	Biosynthesis	Secondary Metabolites Biosynthesis	Nitrogen-Containing Secondary Compounds Biosynthesis	Alkaloids Biosynthesis	Indole Alkaloids Biosynthesis	Indole Alkaloids Biosynthesis	Indole Alkaloids Biosynthesis
1.14.13.-	PWY-5290	secologanin and strictosidine biosynthesis	TERPENOID-ALKALOIDS	Biosynthesis	Secondary Metabolites Biosynthesis	Terpenoids Biosynthesis	Terpenoid Alkaloids Biosynthesis	Terpenoid Alkaloids Biosynthesis	Terpenoid Alkaloids Biosynthesis	Terpenoid Alkaloids Biosynthesis
1.14.13.-	PWY-5290	secologanin and strictosidine biosynthesis	TERPENOID-ALKALOIDS	Biosynthesis	Secondary Metabolites Biosynthesis	Nitrogen-Containing Secondary Compounds Biosynthesis	Alkaloids Biosynthesis	Terpenoid Alkaloids Biosynthesis	Terpenoid Alkaloids Biosynthesis	Terpenoid Alkaloids Biosynthesis
1.14.13.-	PWY-5290	secologanin and strictosidine biosynthesis	INDOLE-ALKALOIDS	Biosynthesis	Secondary Metabolites Biosynthesis	Nitrogen-Containing Secondary Compounds Biosynthesis	Alkaloids Biosynthesis	Indole Alkaloids Biosynthesis	Indole Alkaloids Biosynthesis	Indole Alkaloids Biosynthesis
1.14.13.-	PWY-5290	secologanin and strictosidine biosynthesis	TERPENOID-ALKALOIDS	Biosynthesis	Secondary Metabolites Biosynthesis	Terpenoids Biosynthesis	Terpenoid Alkaloids Biosynthesis	Terpenoid Alkaloids Biosynthesis	Terpenoid Alkaloids Biosynthesis	Terpenoid Alkaloids Biosynthesis
1.14.13.-	PWY-5290	secologanin and strictosidine biosynthesis	TERPENOID-ALKALOIDS	Biosynthesis	Secondary Metabolites Biosynthesis	Nitrogen-Containing Secondary Compounds Biosynthesis	Alkaloids Biosynthesis	Terpenoid Alkaloids Biosynthesis	Terpenoid Alkaloids Biosynthesis	Terpenoid Alkaloids Biosynthesis
1.14.13.152	PWY-5290	secologanin and strictosidine biosynthesis	INDOLE-ALKALOIDS	Biosynthesis	Secondary Metabolites Biosynthesis	Nitrogen-Containing Secondary Compounds Biosynthesis	Alkaloids Biosynthesis	Indole Alkaloids Biosynthesis	Indole Alkaloids Biosynthesis	Indole Alkaloids Biosynthesis
1.14.13.152	PWY-5290	secologanin and strictosidine biosynthesis	TERPENOID-ALKALOIDS	Biosynthesis	Secondary Metabolites Biosynthesis	Terpenoids Biosynthesis	Terpenoid Alkaloids Biosynthesis	Terpenoid Alkaloids Biosynthesis	Terpenoid Alkaloids Biosynthesis	Terpenoid Alkaloids Biosynthesis
1.14.13.152	PWY-5290	secologanin and strictosidine biosynthesis	TERPENOID-ALKALOIDS	Biosynthesis	Secondary Metabolites Biosynthesis	Nitrogen-Containing Secondary Compounds Biosynthesis	Alkaloids Biosynthesis	Terpenoid Alkaloids Biosynthesis	Terpenoid Alkaloids Biosynthesis	Terpenoid Alkaloids Biosynthesis
