	Node1	Node2	CPD
4351	PWY-6443	PWY-6766	benzaldehyde|benzoyl-CoA|benzoate
4352	PWY-6443	PWY-6458	benzoyl-CoA
4353	PWY-6443	PWY-3462	L-phenylalanine
4354	PWY-6443	PWY-7468	benzoate
4355	PWY-6443	PWY-6763	benzaldehyde|benzoyl-CoA|benzoate
4356	PWY-6575	PWY-5123	(2E,6E)-farnesyl diphosphate
4357	PWY-5770	PWY-5776	phenazine-1-carboxylate
4358	PWY-5770	PWY-6666	phenazine-1-carboxylate
4359	KDO-LIPASYN-PWY	KDOSYN-PWY	&alpha;-Kdo-(2->4)-&alpha;-Kdo-(2->6)-lipid IV<SUB>A</SUB>
4360	KDO-LIPASYN-PWY	PWY0-1338	&alpha;-D-Kdo-(2&rarr;4)-&alpha;-D-Kdo-(2&rarr;6)-lipid A
4361	KDO-LIPASYN-PWY	LIPA-CORESYN-PWY	&alpha;-D-Kdo-(2&rarr;4)-&alpha;-D-Kdo-(2&rarr;6)-lipid A
4362	PWY-7259	PWY-5125	pelargonidin-3-O-&beta;-D-glucoside
4363	PWY-7259	PWY-7267	pelargonidin-3-O-&beta;-D-glucoside
4364	PWY-7259	PWY-7261	pelargonidin-3-O-&beta;-D-glucoside
4365	ARO-PWY	NONOXIPENT-PWY	D-erythrose 4-phosphate
4366	PWY66-368	PWY-5690	acetyl-CoA
4367	PWY66-368	PWY66-367	(R)-3-hydroxybutanoate
4368	PWY-6105	NONMEVIPP-PWY	(2E,6E)-farnesyl diphosphate
4369	PWY-6841	PWY-6840	homoglutathione
4370	PWY-7661	PWY-5659	GDP-&alpha;-D-mannose
4371	PWY-5875	PWY-5123	(2E,6E)-farnesyl diphosphate
4372	PWY-5509	PWY-7376	cob(II)yrinate a,c-diamide
4373	PWY-5509	PWY-5523	5,6-dimethylbenzimidazole
4374	PWY-5509	PWY-7377	cob(II)yrinate a,c-diamide
4375	PWY-5509	PWY-5443	(R)-1-amino-2-propanol O-2-phosphate
4376	PWY-6954	TCA	acetyl-CoA|succinyl-CoA
4377	PWY-7301	PWY-7287	dTDP-4-O-demethyl-&beta;-L-noviose
4378	PWY-7672	PWY-5690	oxaloacetate
4379	PWY-7608	PWY-7607	N1-hydroxy-roquefortine C
4380	ARABCAT-PWY	NONOXIPENT-PWY	D-xylulose 5-phosphate
4381	PWY0-1312	CODH-PWY	acetyl-CoA
4382	PWY-7159	PWY-5086	3,8-divinyl chlorophyllide a
4383	PWY-7159	PWY-5064	3,8-divinyl chlorophyllide a
4384	PWY-7159	PWY-5526	3,8-divinyl chlorophyllide a
4385	PWY-7159	PWY-5188	uroporphyrinogen-III
4386	PWY-7751	NONOXIPENT-PWY	D-SEDOHEPTULOSE-7-P
4387	PWY-7637	PWY-5288	3S,3'S-astaxanthin|canthaxanthin|adonixanthin
4388	PWY-5347	CYSTSYN-PWY	L-cysteine
4389	PWY-5347	TCA	oxaloacetate
4390	PWY-7081	PWY-2361	3-oxoadipate
4391	PWY-5074	ACETOACETATE-DEG-PWY	acetoacetate
4392	PWY-5074	PWY-7466	acetoacetate
4393	PWY-5074	PWY-5451	acetoacetate
4394	PWY-5074	PWY-922	(R)-mevalonate
4395	PWY-5922	FAO-PWY	(3R)-3-isopropenyl-6-oxoheptanoyl-CoA
4396	PWY-5922	PWY-5923	(3R)-3-isopropenyl-6-oxoheptanoate
4397	PWY-5199	PWY-5198	oxidized coenzyme F<sub>420</sub>-0||Reduced-Factor-F420|
4398	PWY-5981	PWY-5668	CDPDIACYLGLYCEROL
4399	PWY-5981	GLYCOLYSIS	glycerone phosphate
4400	PWY-5981	PWY-5669	CDPDIACYLGLYCEROL
4401	PWY-6630	NONOXIPENT-PWY	D-erythrose 4-phosphate
4402	PWY-6630	GLYCOLYSIS	phosphoenolpyruvate
4403	PWY-6917	PWY-5997	&alpha;-linolenate
4404	PWY-6917	PWY-5995	linoleoyl-CoA
4405	PWY-5956	PWY-5955	versicolorin B
4406	PWY-5956	PWY-5959	sterigmatocystin
4407	PWY-7554	PWY-5194	siroheme
4408	PWY-3661-1	CHOLINE-BETAINE-ANA-PWY	glycine betaine
4409	PWY-5973	PWY-7691	|Vaccenoyl-Lipid|
4410	PWY-5973	PWY-5366	|Palmitoleoyl-ACPs|
4411	PWY-5973	PWY0-1319	|Cis-vaccenoyl-ACPs|
4412	PWY-5973	PWY-6282	|Palmitoleoyl-ACPs|
4413	PWY-5973	PHOSLIPSYN2-PWY	|Cis-vaccenoyl-ACPs|
4414	PWY-7221	PWY-7226	GDP
4415	PWY-7221	PWY-7222	GDP|GTP
4416	PWY-6557	PWY-6558	|GlcA-Gal-Gal-Xyl-Proteins|
4417	PWY-6557	PWY-4821	UDP-&alpha;-D-xylose
4418	PWY-6557	PWY-7344	UDP-&alpha;-D-galactose
4419	PWY-6557	PWY-7346	UDP-&alpha;-D-glucuronate
4420	PWY-6557	PWY-6566	|GlcA-Gal-Gal-Xyl-Proteins|
4421	PWY-6279	PWY-6475	all-trans-lycopene
4422	PWY-6279	PWY-5942	all-trans-lycopene
4423	PWY-5315	PWY-5316	N-methyl-&Delta;<sup>1</sup>-pyrrolinium cation
4424	PWY-5315	PWY-5317	N-methyl-&Delta;<sup>1</sup>-pyrrolinium cation
4425	PWY-5315	PWY-5318	N-methyl-&Delta;<sup>1</sup>-pyrrolinium cation
4426	PWY-5315	PWY-6305	putrescine
4427	PWY-5315	PWY-5843	N-methyl-&Delta;<sup>1</sup>-pyrrolinium cation
4428	PWY-7010	PWY-5162	2-oxopent-4-enoate
4429	PWY1F-353	PWY-3385	choline
4430	PWY-7717	PWY-7718	3-hydroxy-4-methylanthranilate
4431	PWY-7430	PWY-6504	anthranilate
4432	PWY-6975	PWY-6942	dTDP-D-desosamine
4433	PWY-6975	PWY-6976	dTDP-&beta;-L-mycarose
4434	PWY-7464	PWY-7256	cyanidin 3,7-di-O-&beta;-D-glucoside
4435	ERGOSTEROL-SYN-PWY	PYRUVDEHYD-PWY	acetyl-CoA
4436	PWY-6232	PWY-5060	luteolin
4437	P483-PWY	PWY-6832	phosphonoacetate
4438	PWY-6057	PWY-6046	dimethyl sulfide
4439	PWY-5995	PWY-5374	|Linoleoyl-groups|
4440	PWY-5995	PWY-5407	linoleate
4441	PWY-5995	PWY-6917	linoleoyl-CoA
4442	PWY-5995	PWY-5997	|Linoleoyl-groups|
4443	PWY-5995	PWY-6598	linoleoyl-CoA
4444	PWY-5995	PWY-5353	|Linoleoyl-groups|
4445	PWY-5995	PWY-5406	linoleate
4446	PWY-5995	PWY-7601	linoleoyl-CoA
4447	PWY-5995	PWY-7634	|Linoleoyl-groups|
4448	PWY-5995	PWY-5409	linoleate
4449	PWY-5995	PWY-6958	|Linoleoyl-groups|
4450	PWY-5995	PWY-7724	|Linoleoyl-groups|
4451	PWY-5995	PWY-5147	oleoyl-CoA
4452	PWY-5995	PWY-6013	|Linoleoyl-groups|
4453	PWY-5995	PWY-5998	|Linoleoyl-groups|
4454	PWY-5995	PWY-7049	|Linoleoyl-groups|
4455	PWY-5995	PWY-7725	linoleoyl-CoA
4456	PWY-5995	PWY-6453	linoleoyl-CoA
4457	PWY-5995	PWY-6014	|Linoleoyl-groups|
4458	PWY-5995	PWY-5408	linoleate
4459	PWY-5995	PWY-5410	linoleate
4460	PWY-7530	UDPNAGSYN-PWY	UDP-N-acetyl-&alpha;-D-glucosamine
4461	PWY-6622	PWY-5989	|Stearoyl-ACPs|
4462	PWY0-1301	PWY-6317	&beta;-D-galactose
4463	PWY0-1301	GLUCOSE1PMETAB-PWY	&beta;-D-glucopyranose
4464	PWY-7252	PWY-5060	(2S)-eriodictyol
4465	PWY-6303	PWY-581	indole-3-acetate
4466	PWY-7351	PWY-7383	pyruvate
4467	PWY-7628	PWY-7627	2,4-dinitrophenol
4468	PWY-5027	PWY-5063	phytyl diphosphate
4469	PWY-5027	PWY-5837	2-carboxy-1,4-naphthoquinol
4470	PWY-5027	PWY-5107	phytyl diphosphate
4471	PWY-7192	PWY-3101	quercetin
